scenario,pathway,material_code,flow_per_hr,flow_unit,mass_flow_kg_hr,is_feedstock,is_product,is_byproduct,product_rate_kg_per_hr,quantity_per_kg_graphite,quantity_per_kg_graphite_unit
s_o1,BO1,Fe,24806.250083372986,kg,24806.250083372986,False,False,False,9458.333333333334,2.6226872334843683,kg/kg graphite
s_o1,BO1,HCl,8621.186682247218,kg,8621.186682247218,False,False,False,9458.333333333334,0.9114911029688688,kg/kg graphite
s_o1,BO1,N2,416.6666680670695,kg,416.6666680670695,False,False,False,9458.333333333334,0.04405286358418356,kg/kg graphite
s_o1,BO1,NaOH,2462.7787823759927,kg,2462.7787823759927,False,False,False,9458.333333333334,0.2603818976961402,kg/kg graphite
s_o1,BO1,bioH2,20.83333340335348,kg,20.83333340335348,False,False,False,9458.333333333334,0.002202643179209178,kg/kg graphite
s_o1,BO1,boiler chemical,0.5899705034577977,kg,0.5899705034577977,False,False,False,9458.333333333334,6.237573604840151e-05,kg/kg graphite
s_o1,BO1,coke,12250.000041171845,kg,12250.000041171845,False,False,False,9458.333333333334,1.2951541893749967,kg/kg graphite
s_o1,BO1,cooling chemical,0.49251422047338317,kg,0.49251422047338317,False,False,False,9458.333333333334,5.2071988067670464e-05,kg/kg graphite
s_o1,BO1,diesel,263.46041190329385,kg,263.46041190329385,False,False,False,9458.333333333334,0.02785484531136146,kg/kg graphite
s_o1,BO1,electricity,47064.7967917067,kWh,47064.7967917067,False,False,False,9458.333333333334,4.976013757713483,kWh/kg graphite
s_o1,BO1,feedstock,83333.33361341392,kg,83333.33361341392,True,False,False,9458.333333333334,8.810572716836713,kg/kg graphite
s_o1,BO1,graphite,9458.333333333334,kg,9458.333333333334,False,True,False,9458.333333333334,1.0,kg/kg graphite
s_o1,BO1,hytrtoil,83.33333361341352,kg,83.33333361341352,False,False,False,9458.333333333334,0.00881057271683667,kg/kg graphite
s_o1,BO1,natural gas,6739.588873870551,m3,6739.588873870551,False,False,False,9458.333333333334,0.7125556518629657,m3/kg graphite
s_o1,BO1,sand,90.41666697055409,kg,90.41666697055409,False,False,False,9458.333333333334,0.009559471397767833,kg/kg graphite
s_o1,BO1,solid disposal,477.7763459904354,kg,477.7763459904354,False,False,False,9458.333333333334,0.050513798695024,kg/kg graphite
s_o1,BO1,water,132.25863130696953,m3,132.25863130696953,False,False,False,9458.333333333334,0.01398329141571484,m3/kg graphite
s_o1,BO1,wwt,23264.82349406232,kg,23264.82349406232,False,False,False,9458.333333333334,2.459717021398659,kg/kg graphite
s_o2,BO2,Fe,24806.250083372986,kg,24806.250083372986,False,False,False,9458.333333333334,2.6226872334843683,kg/kg graphite
s_o2,BO2,H2S,0.8333333361341391,kg,0.8333333361341391,False,False,False,9458.333333333334,8.810572716836712e-05,kg/kg graphite
s_o2,BO2,HCl,8621.186682247218,kg,8621.186682247218,False,False,False,9458.333333333334,0.9114911029688688,kg/kg graphite
s_o2,BO2,MgAlO catalyst,0.030000000100829007,kg,0.030000000100829007,False,False,False,9458.333333333334,3.1718061780612164e-06,kg/kg graphite
s_o2,BO2,N2,416.66666806706945,kg,416.66666806706945,False,False,False,9458.333333333334,0.04405286358418355,kg/kg graphite
s_o2,BO2,NaOH,2435.923085887753,kg,2435.923085887753,False,False,False,9458.333333333334,0.257542528904432,kg/kg graphite
s_o2,BO2,Ni/Al2O3 catalyst,0.06250000081145259,kg,0.06250000081145259,False,False,False,9458.333333333334,6.607929601210846e-06,kg/kg graphite
s_o2,BO2,NiMo/Al2O3 catalyst,0.3600000012099481,kg,0.3600000012099481,False,False,False,9458.333333333334,3.8061674136734595e-05,kg/kg graphite
s_o2,BO2,Pt/Al2O3 catalyst,0.030000000100829007,kg,0.030000000100829007,False,False,False,9458.333333333334,3.1718061780612164e-06,kg/kg graphite
s_o2,BO2,ZrO2 catalyst,0.04000000013443867,kg,0.04000000013443867,False,False,False,9458.333333333334,4.229074904081621e-06,kg/kg graphite
s_o2,BO2,bioH2,854.1666923903947,kg,854.1666923903947,False,False,True,9458.333333333334,0.09030837276374216,kg/kg graphite
s_o2,BO2,bioSAF,3527.5000118558105,kg,3527.5000118558105,False,False,True,9458.333333333334,0.372951543103698,kg/kg graphite
s_o2,BO2,biodiesel,2762.5000092846713,kg,2762.5000092846713,False,False,True,9458.333333333334,0.29207048556313703,kg/kg graphite
s_o2,BO2,biogasoline,501.6666683527517,kg,501.6666683527517,False,False,True,9458.333333333334,0.053039647755357,kg/kg graphite
s_o2,BO2,boiler chemical,0.8333333361341393,kg,0.8333333361341393,False,False,False,9458.333333333334,8.810572716836714e-05,kg/kg graphite
s_o2,BO2,coke,12250.000041171845,kg,12250.000041171845,False,False,False,9458.333333333334,1.2951541893749967,kg/kg graphite
s_o2,BO2,cooling chemical,0.4510414586214598,kg,0.4510414586214598,False,False,False,9458.333333333334,4.7687202673634514e-05,kg/kg graphite
s_o2,BO2,diesel,263.4604119032938,kg,263.4604119032938,False,False,False,9458.333333333334,0.027854845311361457,kg/kg graphite
s_o2,BO2,electricity,46516.93136570581,kWh,46516.93136570581,False,False,False,9458.333333333334,4.918089659810305,kWh/kg graphite
s_o2,BO2,feedstock,83333.3336134139,kg,83333.3336134139,True,False,False,9458.333333333334,8.810572716836711,kg/kg graphite
s_o2,BO2,graphite,9458.333333333334,kg,9458.333333333334,False,True,False,9458.333333333334,1.0,kg/kg graphite
s_o2,BO2,natural gas,6305.624827135348,m3,6305.624827135348,False,False,False,9458.333333333334,0.6666739905341337,m3/kg graphite
s_o2,BO2,sand,90.41666697055408,kg,90.41666697055408,False,False,False,9458.333333333334,0.00955947139776783,kg/kg graphite
s_o2,BO2,solid disposal,815.863296894699,kg,815.863296894699,False,False,False,9458.333333333334,0.08625867456155407,kg/kg graphite
s_o2,BO2,toluene,2.6500000089065616,kg,2.6500000089065616,False,False,False,9458.333333333334,0.0002801762123954074,kg/kg graphite
s_o2,BO2,water,120.34140094693883,m3,120.34140094693883,False,False,False,9458.333333333334,0.012723319923905426,m3/kg graphite
s_o2,BO2,wwt,44267.63241637344,kg,44267.63241637344,False,False,False,9458.333333333334,4.6802783171496145,kg/kg graphite
