carrier,region,impact_category,factor_value,source_unit,factor_unit,source,reference,notes
natural_gas,Permian,particulate matter formation,2.268885064155575e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Permian,photochemical oxidant formation,0.0029230348782632,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Piceance,climate change,0.0180334300738449,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Piceance,acidification,8.566253973352126e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Piceance,eutrophication,5.297424951898556e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Piceance,ecotoxicity: freshwater,0.0254340881952056,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Piceance,particulate matter formation,1.7813805055958524e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Piceance,photochemical oxidant formation,0.0029668314657354,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,San Juan,climate change,0.0233162088692861,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,San Juan,acidification,0.0001083281372039,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,San Juan,eutrophication,6.746542758477042e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,San Juan,ecotoxicity: freshwater,0.0078260434819261,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,San Juan,particulate matter formation,1.963589718149228e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,San Juan,photochemical oxidant formation,0.0038369431026489,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,South Oklahoma,climate change,0.0209108995952574,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,South Oklahoma,acidification,0.0001720154882242,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,South Oklahoma,eutrophication,1.0767544793281004e-05,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,South Oklahoma,ecotoxicity: freshwater,0.0170574964443132,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,South Oklahoma,particulate matter formation,3.0314747483617093e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,South Oklahoma,photochemical oxidant formation,0.0060436216076321,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Strawn,climate change,0.0142397057283749,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Strawn,acidification,8.61087111785762e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Strawn,eutrophication,5.343382122388189e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Strawn,ecotoxicity: freshwater,0.0062612400028095,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Strawn,particulate matter formation,1.6052145820585629e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Strawn,photochemical oxidant formation,0.0030125929703218,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Uinta,climate change,0.0166959055565132,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Uinta,acidification,8.44095793251434e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Uinta,eutrophication,5.2238944659246896e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Uinta,ecotoxicity: freshwater,0.0196046333052245,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Uinta,particulate matter formation,1.7069265492684057e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Uinta,photochemical oxidant formation,0.0029207116949167,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
