state,scenario,MSP,electricity_price,feedstock_price
PA,s_c2,4.282639129620424,0.08650000000000001,0.04464419569064944
PA,s_o1,5.796352163944625,0.08650000000000001,0.04464419569064944
PA,s_o2,5.058853196269556,0.08650000000000001,0.04464419569064944
RI,s_c1,5.154351214718877,0.24960000000000002,0.0516198512673134
RI,s_c2,5.31145093992009,0.24960000000000002,0.0516198512673134
RI,s_o1,6.6751989014608775,0.24960000000000002,0.0516198512673134
RI,s_o2,5.928189757241975,0.24960000000000002,0.0516198512673134
SC,s_c1,4.194269632676941,0.0661,0.0653718579755938
SC,s_c2,4.261719169246843,0.0661,0.0653718579755938
SC,s_o1,5.8780028593379745,0.0661,0.0653718579755938
SC,s_o2,5.141693392591748,0.0661,0.0653718579755938
SD,s_c1,4.285159558336301,0.0832,0.0643753357503561
SD,s_c2,4.3609633491954956,0.0832,0.0643753357503561
SD,s_o1,5.954819665219605,0.0832,0.0643753357503561
SD,s_o2,5.2175131168124365,0.0832,0.0643753357503561
TN,s_c1,4.183606733283545,0.0681,0.060987160184547896
TN,s_c2,4.252033468314589,0.0681,0.060987160184547896
TN,s_o1,5.849132678289691,0.0681,0.060987160184547896
TN,s_o2,5.112706593805344,0.0681,0.060987160184547896
TX,s_c1,4.126582915787499,0.0652,0.05281567793759866
TX,s_c2,4.193593028599585,0.0652,0.05281567793759866
TX,s_o1,5.762132700529745,0.0652,0.05281567793759866
TX,s_o2,5.025875711765673,0.0652,0.05281567793759866
UT,s_c1,4.250243540031039,0.0791,0.061983682409785586
UT,s_c2,4.324044321203837,0.0791,0.061983682409785586
UT,s_o1,5.913070678069743,0.0791,0.061983682409785586
UT,s_o2,5.176003196025724,0.0791,0.061983682409785586
VA,s_c1,4.311687401894525,0.0874,0.06497324908549872
VA,s_c2,4.3895430965585485,0.0874,0.06497324908549872
VA,s_o1,5.981160702326495,0.0874,0.06497324908549872
VA,s_o2,5.243609256669271,0.0874,0.06497324908549872
VT,s_c1,4.497105297171936,0.1242,0.060787855739500345
VT,s_c2,4.592939782236727,0.1242,0.060787855739500345
VT,s_o1,6.128373732073041,0.1242,0.060787855739500345
VT,s_o2,5.388676520034376,0.1242,0.060787855739500345
WA,s_c1,4.174849546786142,0.0637,0.06417603130530856
WA,s_c2,4.241126585446981,0.0637,0.06417603130530856
WA,s_o1,5.855375192027044,0.0637,0.06417603130530856
WA,s_o2,5.119205666566563,0.0637,0.06417603130530856
WI,s_c1,4.255510287265107,0.0827,0.05899411573407246
WI,s_c2,4.331069919186173,0.0827,0.05899411573407246
WI,s_o1,5.9045885608369755,0.0827,0.05899411573407246
WI,s_o2,5.167311166864338,0.0827,0.05899411573407246
WV,s_c1,4.190711965166489,0.0793,0.04982611126188553
WV,s_c2,4.264610720702844,0.0793,0.04982611126188553
WV,s_o1,5.806245795376965,0.0793,0.04982611126188553
WV,s_o2,5.069166651559134,0.0793,0.04982611126188553
WY,s_c1,4.26697591262186,0.0851,0.05859550684397738
WY,s_c2,4.343708077080215,0.0851,0.05859550684397738
WY,s_o1,5.91307502208152,0.0851,0.05859550684397738
WY,s_o2,5.175657686823134,0.0851,0.05859550684397738
