state,scenario,factor,low_level,high_level,low_mean_impact_avg_full_pct,high_mean_impact_avg_full_pct,effect_pct_points
AZ,s_o2,social_rate,0.01,0.05,-16.522951012739195,-8.898515715459505,7.624435297279691
AZ,s_o2,spc,1.05,1.2,-13.59762297370451,-11.82384375449419,1.7737792192103203
AZ,s_o2,damage_scenario,low,high,-12.324191323832604,-13.097275404366096,-0.7730840805334918
CA,s_c2,social_rate,0.01,0.05,-1.922243175875396,0.5316479480852648,2.453891123960661
CA,s_c2,spc,1.05,1.2,-0.9704010947666429,-0.4201941330234882,0.5502069617431548
CA,s_c2,damage_scenario,low,high,-0.9378254269964525,-0.4527698007936787,0.48505562620277387
CA,s_o2,social_rate,0.01,0.05,-5.782130444051709,1.8764184297446584,7.658548873796367
CA,s_o2,spc,1.05,1.2,-2.839745616758682,-1.0659663975483678,1.7737792192103143
CA,s_o2,damage_scenario,low,high,-1.142280705310888,-2.7634313089961617,-1.6211506036852736
CO,s_c2,social_rate,0.01,0.05,-14.123090110023018,-11.703697172758472,2.4193929372645453
CO,s_c2,spc,1.05,1.2,-13.188497122262323,-12.63829016051917,0.550206961743152
CO,s_c2,damage_scenario,low,high,-13.57079124973371,-12.255996033047783,1.314795216685928
CO,s_o2,social_rate,0.01,0.05,-15.852614437944151,-8.22281266800423,7.62980176993992
CO,s_o2,spc,1.05,1.2,-12.92460316257936,-11.150823943369021,1.773779219210338
CO,s_o2,damage_scenario,low,high,-11.573398062084584,-12.502029043863796,-0.9286309817792127
CT,s_c2,social_rate,0.01,0.05,-9.409950781590096,-6.938942986663294,2.471007794926802
CT,s_c2,spc,1.05,1.2,-8.449550364998272,-7.899343403255118,0.5502069617431538
CT,s_c2,damage_scenario,low,high,-7.674753123652064,-8.674140644601325,-0.9993875209492611
CT,s_o2,social_rate,0.01,0.05,-11.204004230504161,-3.537539633960057,7.666464596544104
CT,s_o2,spc,1.05,1.2,-8.257661541837273,-6.483882322626947,1.7737792192103257
CT,s_o2,damage_scenario,low,high,-6.138377043265836,-8.603166821198382,-2.4647897779325456
DC,s_c2,social_rate,0.01,0.05,-12.915793820023524,-10.496432667517718,2.4193611525058056
DC,s_c2,spc,1.05,1.2,-11.981216724642199,-11.431009762899045,0.5502069617431538
DC,s_c2,damage_scenario,low,high,-12.141211932677143,-11.2710145548641,0.8701973778130423
DC,s_o2,social_rate,0.01,0.05,-14.900891578489034,-7.270505052589568,7.630386525899466
DC,s_o2,spc,1.05,1.2,-11.972587925144461,-10.198808705934141,1.7737792192103203
DC,s_o2,damage_scenario,low,high,-10.478765268192303,-11.6926313628863,-1.213866094693996
DE,s_c2,social_rate,0.01,0.05,-20.652712905789194,-18.256165089199143,2.3965478165900507
DE,s_c2,spc,1.05,1.2,-19.729542478365747,-19.179335516622594,0.5502069617431538
DE,s_c2,damage_scenario,low,high,-20.16586404424907,-18.74301395073927,1.4228500935097976
DE,s_o2,social_rate,0.01,0.05,-23.67195897831008,-16.067435112303254,7.604523866006826
DE,s_o2,spc,1.05,1.2,-20.75658665491183,-18.982807435701506,1.7737792192103221
DE,s_o2,damage_scenario,low,high,-19.576025269296245,-20.163368821317086,-0.5873435520208403
FL,s_c2,social_rate,0.01,0.05,-17.4052926620477,-14.999818802211886,2.405473859835814
FL,s_c2,spc,1.05,1.2,-16.477659213001374,-15.927452251258211,0.5502069617431626
FL,s_c2,damage_scenario,low,high,-16.813220738825173,-15.591890725434416,1.221330013390757
FL,s_o2,social_rate,0.01,0.05,-18.740839324346037,-11.122171199330792,7.618668125015246
FL,s_o2,spc,1.05,1.2,-15.818394871443575,-14.044615652233256,1.7737792192103186
FL,s_o2,damage_scenario,low,high,-14.470994982559516,-15.392015541117317,-0.9210205585578013
GA,s_c2,social_rate,0.01,0.05,-18.374749058563577,-15.972133769973556,2.4026152885900203
GA,s_c2,spc,1.05,1.2,-17.44854489514015,-16.898337933396988,0.5502069617431609
GA,s_c2,damage_scenario,low,high,-17.818730843446907,-16.528151985090226,1.2905788583566817
GA,s_o2,social_rate,0.01,0.05,-18.30209144847644,-10.682129616940095,7.619961831536344
GA,s_o2,spc,1.05,1.2,-15.37900014231343,-13.605220923103104,1.7737792192103257
GA,s_o2,damage_scenario,low,high,-14.015930243027448,-14.968290822389086,-0.9523605793616383
HI,s_c2,social_rate,0.01,0.05,15.96067125317911,18.39558194645963,2.4349106932805196
HI,s_c2,spc,1.05,1.2,16.903023118947797,17.45323008069094,0.5502069617431431
HI,s_c2,damage_scenario,low,high,16.235743689329496,18.12050951030924,1.8847658209797444
HI,s_o2,social_rate,0.01,0.05,7.352506375832046,15.006078001469865,7.653571625637818
HI,s_o2,spc,1.05,1.2,10.2924025790458,12.06618179825611,1.7737792192103097
HI,s_o2,damage_scenario,low,high,11.643150566297178,10.715433811004733,-0.9277167552924457
IA,s_c2,social_rate,0.01,0.05,-10.11011795705872,-7.716568974933745,2.3935489821249742
IA,s_c2,spc,1.05,1.2,-9.188446946867817,-8.638239985124647,0.5502069617431697
IA,s_c2,damage_scenario,low,high,-10.47441299589166,-7.352273936100806,3.122139059790854
IA,s_o2,social_rate,0.01,0.05,-14.751264458981694,-7.141204412731325,7.61006004625037
IA,s_o2,spc,1.05,1.2,-11.833124045461673,-10.059344826251346,1.7737792192103274
IA,s_o2,damage_scenario,low,high,-11.081120967113975,-10.811347904599044,0.26977306251493083
ID,s_c2,social_rate,0.01,0.05,-14.848196265144184,-12.432381215052473,2.4158150500917106
ID,s_c2,spc,1.05,1.2,-13.91539222096991,-13.365185259226749,0.5502069617431609
ID,s_c2,damage_scenario,low,high,-14.343873685994573,-12.936703794202085,1.4071698917924884
ID,s_o2,social_rate,0.01,0.05,-16.013749309456923,-8.38533170234974,7.628417607107183
ID,s_o2,spc,1.05,1.2,-13.086430115508488,-11.312650896298173,1.773779219210315
ID,s_o2,damage_scenario,low,high,-11.753790170278029,-12.645290841528634,-0.891500671250606
IL,s_c2,social_rate,0.01,0.05,-16.05545404196173,-13.648083706121653,2.4073703358400778
IL,s_c2,spc,1.05,1.2,-15.12687235491327,-14.576665393170114,0.5502069617431573
IL,s_c2,damage_scenario,low,high,-15.439159073080972,-14.264378675002412,1.1747803980785605
IL,s_o2,social_rate,0.01,0.05,-18.076493094012086,-10.457129395299866,7.61936369871222
IL,s_o2,spc,1.05,1.2,-15.153700854261139,-13.379921635050813,1.7737792192103257
IL,s_o2,damage_scenario,low,high,-13.797599515420131,-14.73602297389182,-0.9384234584716893
IN,s_c2,social_rate,0.01,0.05,-18.280181634645444,-15.876498489034024,2.4036831456114207
IN,s_c2,spc,1.05,1.2,-17.35344354271131,-16.80323658096816,0.5502069617431502
IN,s_c2,damage_scenario,low,high,-17.70311246969695,-16.453567653982518,1.249544815714433
IN,s_o2,social_rate,0.01,0.05,-19.326710300337286,-11.709233532261576,7.61747676807571
IN,s_o2,spc,1.05,1.2,-16.404861525904597,-14.631082306694267,1.7737792192103292
IN,s_o2,damage_scenario,low,high,-15.06718097272487,-15.968762859873996,-0.9015818871491259
KS,s_c2,social_rate,0.01,0.05,-10.880734102623059,-8.489098221968833,2.391635880654226
KS,s_c2,spc,1.05,1.2,-9.960019643167527,-9.409812681424363,0.5502069617431644
KS,s_c2,damage_scenario,low,high,-11.287748149816398,-8.082084174775492,3.205663975040906
KS,s_o2,social_rate,0.01,0.05,-17.801361608059565,-10.200068419877825,7.6012931881817405
KS,s_o2,spc,1.05,1.2,-14.887604623573855,-13.113825404363538,1.7737792192103168
KS,s_o2,damage_scenario,low,high,-14.25352696504075,-13.747903062896642,0.5056239021441087
KY,s_c2,social_rate,0.01,0.05,-18.868080590298696,-16.46678035068481,2.401300239613885
KY,s_c2,spc,1.05,1.2,-17.942533951363338,-17.392326989620173,0.5502069617431644
KY,s_c2,damage_scenario,low,high,-18.328422400025396,-17.00643854095811,1.3219838590672843
KY,s_o2,social_rate,0.01,0.05,-19.123763366666516,-11.506083986294769,7.617679380371747
KY,s_o2,spc,1.05,1.2,-16.2018132860858,-14.428034066875487,1.773779219210315
KY,s_o2,damage_scenario,low,high,-14.866162319453924,-15.763685033507361,-0.8975227140534372
LA,s_c2,social_rate,0.01,0.05,-18.59126254544843,-16.196013559361873,2.395248986086557
LA,s_c2,spc,1.05,1.2,-17.66874153327673,-17.118534571533573,0.5502069617431573
LA,s_c2,damage_scenario,low,high,-18.233743745038808,-16.553532359771495,1.680211385267313
LA,s_o2,social_rate,0.01,0.05,-18.796884095462804,-11.182597835183754,7.61428626027905
LA,s_o2,spc,1.05,1.2,-15.876630574928441,-14.102851355718117,1.7737792192103239
LA,s_o2,damage_scenario,low,high,-14.64896450362977,-15.33051742701679,-0.6815529233870201
MA,s_c2,social_rate,0.01,0.05,-10.906368428487117,-8.439773020205502,2.4665954082816146
MA,s_c2,spc,1.05,1.2,-9.948174205217892,-9.397967243474728,0.5502069617431644
MA,s_c2,damage_scenario,low,high,-9.226821963567724,-10.119319485124896,-0.8924975215571713
MA,s_o2,social_rate,0.01,0.05,-12.906737418249348,-5.2452935571887345,7.661443861060613
MA,s_o2,spc,1.05,1.2,-9.962905097324192,-8.18912587811389,1.7737792192103026
MA,s_o2,damage_scenario,low,high,-7.9044342191281975,-10.247596756309884,-2.343162537181686
MD,s_c2,social_rate,0.01,0.05,-12.947788398109335,-10.528521585876327,2.4192668122330083
MD,s_c2,spc,1.05,1.2,-12.013258472864411,-11.46305151112125,0.5502069617431609
MD,s_c2,damage_scenario,low,high,-12.174396376736722,-11.30191360724894,0.8724827694877817
MD,s_o2,social_rate,0.01,0.05,-14.926881756524239,-7.29657186612469,7.630309890399548
MD,s_o2,spc,1.05,1.2,-11.99861642092962,-10.224837201719309,1.7737792192103115
MD,s_o2,damage_scenario,low,high,-10.505722010887725,-11.717731611761204,-1.212009600873479
ME,s_c2,social_rate,0.01,0.05,-12.185678629200407,-9.722855437356039,2.462823191844368
ME,s_c2,spc,1.05,1.2,-11.229370514149796,-10.679163552406653,0.5502069617431431
ME,s_c2,damage_scenario,low,high,-10.553709215419254,-11.354824851137193,-0.8011156357179399
ME,s_o2,social_rate,0.01,0.05,-12.53491333084447,-4.872373096962409,7.66254023388206
ME,s_o2,spc,1.05,1.2,-9.590532823508596,-7.816753604298282,1.7737792192103141
ME,s_o2,damage_scenario,low,high,-7.518782137847384,-9.888504289959492,-2.369722152112108
MI,s_c2,social_rate,0.01,0.05,-17.564550267982014,-15.158756988016282,2.4057932799657316
MI,s_c2,spc,1.05,1.2,-16.63675710887072,-16.086550147127575,0.5502069617431466
MI,s_c2,damage_scenario,low,high,-16.96086704953118,-15.762440206467122,1.198426843064059
MI,s_o2,social_rate,0.01,0.05,-18.15744470448864,-10.53652020114297,7.62092450334567
MI,s_o2,spc,1.05,1.2,-15.233872062420966,-13.460092843210644,1.7737792192103221
MI,s_o2,damage_scenario,low,high,-13.854430841994159,-14.839534063637451,-0.9851032216432927
MN,s_c2,social_rate,0.01,0.05,-5.920668637873605,-3.5144073438788475,2.406261293994757
MN,s_c2,spc,1.05,1.2,-4.9926414717478025,-4.4424345100046505,0.550206961743152
MN,s_c2,damage_scenario,low,high,-6.143219770494756,-3.291856211257696,2.8513635592370603
MN,s_o2,social_rate,0.01,0.05,-10.311723271765338,-2.688345887877336,7.623377383888002
MN,s_o2,spc,1.05,1.2,-7.386924189426497,-5.613144970216177,1.7737792192103203
MN,s_o2,damage_scenario,low,high,-6.4853518782896975,-6.514717281352977,-0.02936540306327906
MO,s_c2,social_rate,0.01,0.05,-18.580261257217714,-16.180335651571355,2.3999256056463594
MO,s_c2,spc,1.05,1.2,-17.655401935266113,-17.105194973522956,0.5502069617431573
MO,s_c2,damage_scenario,low,high,-18.057862891309014,-16.702734017480058,1.3551288738289564
MO,s_o2,social_rate,0.01,0.05,-19.455544346816637,-11.840246964312,7.615297382504638
MO,s_o2,spc,1.05,1.2,-16.534785265169482,-14.761006045959155,1.7737792192103274
MO,s_o2,damage_scenario,low,high,-15.227937150480034,-16.067854160648604,-0.8399170101685698
MS,s_c2,social_rate,0.01,0.05,-17.98065195479367,-15.576862906505378,2.403789048288294
MS,s_c2,spc,1.05,1.2,-17.053860911521106,-16.503653949777945,0.5502069617431609
MS,s_c2,damage_scenario,low,high,-17.413869669446008,-16.143645191853043,1.270224477592965
MS,s_o2,social_rate,0.01,0.05,-18.000867818757797,-10.37997931776046,7.620888500997337
MS,s_o2,spc,1.05,1.2,-15.077313177864296,-13.303533958653963,1.7737792192103328
MS,s_o2,damage_scenario,low,high,-13.705562092424712,-14.675285044093547,-0.9697229516688353
MT,s_c2,social_rate,0.01,0.05,-16.56307136509941,-14.150873037392403,2.4121983277070083
MT,s_c2,spc,1.05,1.2,-15.632075682117483,-15.081868720374333,0.5502069617431502
MT,s_c2,damage_scenario,low,high,-16.101514463159575,-14.612429939332245,1.48908452382733
MT,s_o2,social_rate,0.01,0.05,-18.25464059653042,-10.631921520493167,7.622719076037255
MT,s_o2,spc,1.05,1.2,-15.330170668116955,-13.556391448906632,1.7737792192103221
MT,s_o2,damage_scenario,low,high,-14.064754643674416,-14.821807473349171,-0.7570528296747554
NC,s_c2,social_rate,0.01,0.05,-17.61361383294313,-15.208754235812853,2.4048595971302777
NC,s_c2,spc,1.05,1.2,-16.686287515249568,-16.136080553506414,0.5502069617431538
NC,s_c2,damage_scenario,low,high,-17.029289293424224,-15.793078775331763,1.2362105180924612
NC,s_o2,social_rate,0.01,0.05,-17.700596116354724,-10.078860695756442,7.621735420598283
NC,s_o2,spc,1.05,1.2,-14.776618015660738,-13.002838796450424,1.7737792192103132
NC,s_o2,damage_scenario,low,high,-13.392065532345443,-14.38739127976572,-0.9953257474202779
ND,s_c2,social_rate,0.01,0.05,-8.970484651731404,-6.5711748602160505,2.3993097915153534
ND,s_c2,spc,1.05,1.2,-8.045933236845311,-7.495726275102143,0.550206961743168
ND,s_c2,damage_scenario,low,high,-9.256348521379035,-6.2853109905684175,2.9710375308106176
ND,s_o2,social_rate,0.01,0.05,-14.01248534678658,-6.398731375368629,7.6137539714179505
ND,s_o2,spc,1.05,1.2,-11.092497970682766,-9.318718751472442,1.7737792192103239
ND,s_o2,damage_scenario,low,high,-10.292107433642489,-10.119109288512721,0.17299814512976752
NE,s_c2,social_rate,0.01,0.05,-10.97055607114233,-8.579185042519999,2.3913710286223306
NE,s_c2,spc,1.05,1.2,-10.049974037702743,-9.499767075959586,0.5502069617431573
NE,s_c2,damage_scenario,low,high,-11.38091056257445,-8.168830551087877,3.212080011486572
NE,s_o2,social_rate,0.01,0.05,-17.67274860223279,-10.071076181481539,7.601672420751251
NE,s_o2,spc,1.05,1.2,-14.758802001462326,-12.985022782252003,1.7737792192103239
NE,s_o2,damage_scenario,low,high,-14.12013089131391,-13.62369389240042,0.4964369989134898
NH,s_c2,social_rate,0.01,0.05,-14.73497297143886,-12.279666713342056,2.4553062580968046
NH,s_c2,spc,1.05,1.2,-13.782423323262039,-13.232216361518878,0.5502069617431609
NH,s_c2,damage_scenario,low,high,-13.197810827403195,-13.816828857377722,-0.6190180299745265
NH,s_o2,social_rate,0.01,0.05,-17.293492036214715,-9.644983105139856,7.6485089310748595
NH,s_o2,spc,1.05,1.2,-14.35612718028245,-12.582347961072124,1.7737792192103257
NH,s_o2,damage_scenario,low,high,-12.454330543204858,-14.484144598149715,-2.0298140549448576
NJ,s_c2,social_rate,0.01,0.05,-14.029382311300267,-11.613304722709474,2.4160775885907935
NJ,s_c2,spc,1.05,1.2,-13.096446997876452,-12.546240036133291,0.5502069617431609
NJ,s_c2,damage_scenario,low,high,-13.296214348869762,-12.346472685139979,0.9497416637297835
NJ,s_o2,social_rate,0.01,0.05,-16.561411754602595,-8.935921493502157,7.625490261100438
NJ,s_o2,spc,1.05,1.2,-13.635556233657539,-11.861777014447213,1.7737792192103257
NJ,s_o2,damage_scenario,low,high,-12.201039546861296,-13.296293701243457,-1.095254154382161
NM,s_c2,social_rate,0.01,0.05,-15.200697508828087,-12.789780182885362,2.410917325942725
NM,s_c2,spc,1.05,1.2,-14.270342326728299,-13.72013536498515,0.5502069617431484
NM,s_c2,damage_scenario,low,high,-14.77543598859438,-13.215041703119072,1.560394285475308
NM,s_o2,social_rate,0.01,0.05,-16.090249984442917,-8.4644898612078,7.625760123235116
NM,s_o2,spc,1.05,1.2,-13.164259532430517,-11.3904803132202,1.7737792192103168
NM,s_o2,damage_scenario,low,high,-11.87477237634458,-12.679967469306137,-0.8051950929615561
NV,s_c2,social_rate,0.01,0.05,-15.144970128575585,-12.73006797533448,2.414902153241105
NV,s_c2,spc,1.05,1.2,-14.212622532826616,-13.66241557108345,0.5502069617431662
NV,s_c2,damage_scenario,low,high,-14.652300476495295,-13.222737627414771,1.429562849080524
NV,s_o2,social_rate,0.01,0.05,-16.758532001296505,-9.132348508745057,7.626183492551448
NV,s_o2,spc,1.05,1.2,-13.832329864625944,-12.058550645415618,1.7737792192103257
NV,s_o2,damage_scenario,low,high,-12.526890387459208,-13.363990122582354,-0.8370997351231466
NY,s_c2,social_rate,0.01,0.05,-20.391951486872962,-17.95332558302443,2.438625903848532
NY,s_c2,spc,1.05,1.2,-19.447742015820275,-18.897535054077114,0.5502069617431609
NY,s_c2,damage_scenario,low,high,-19.065170183986513,-19.280106885910875,-0.21493670192436198
NY,s_o2,social_rate,0.01,0.05,-20.091424200492916,-12.45116534488422,7.640258855608696
NY,s_o2,spc,1.05,1.2,-17.158184382293733,-15.384405163083404,1.7737792192103292
NY,s_o2,damage_scenario,low,high,-15.356316721581454,-17.18627282379568,-1.8299561022142257
OH,s_c2,social_rate,0.01,0.05,-19.538042164657114,-17.13806798827341,2.3999741763837044
OH,s_c2,spc,1.05,1.2,-18.613158557336835,-18.062951595593685,0.5502069617431502
OH,s_c2,damage_scenario,low,high,-19.007752345896748,-17.668357807033768,1.3393945388629795
OH,s_o2,social_rate,0.01,0.05,-20.852454397202578,-13.239476488713914,7.612977908488665
OH,s_o2,spc,1.05,1.2,-17.93285505256341,-16.159075833353082,1.7737792192103292
OH,s_o2,damage_scenario,low,high,-16.649666901930726,-17.442263983985768,-0.7925970820550425
OK,s_c2,social_rate,0.01,0.05,-11.058819327528571,-8.66770855486791,2.391110772660662
OK,s_c2,spc,1.05,1.2,-10.13836742206982,-9.58816046032666,0.5502069617431591
OK,s_c2,damage_scenario,low,high,-11.47245629529863,-8.254071587097851,3.2183847082007784
OK,s_o2,social_rate,0.01,0.05,-15.543886101197085,-7.935936445952832,7.607949655244253
OK,s_o2,spc,1.05,1.2,-12.626800883180119,-10.853021663969798,1.7737792192103203
OK,s_o2,damage_scenario,low,high,-11.91209681795615,-11.567725729193768,0.344371088762383
OR,s_c2,social_rate,0.01,0.05,-14.539897574457894,-12.123211284239584,2.41668629021831
OR,s_c2,spc,1.05,1.2,-13.60665791022032,-13.056450948477156,0.5502069617431644
OR,s_c2,damage_scenario,low,high,-14.024725508316052,-12.638383350381428,1.3863421579346245
OR,s_o2,social_rate,0.01,0.05,-15.981443945791396,-8.352969105657039,7.628474840134357
OR,s_o2,spc,1.05,1.2,-13.05409613532938,-11.280316916119055,1.7737792192103239
