state,scenario,climate change,acidification,eutrophication,ecotoxicity: freshwater,particulate matter formation,photochemical oxidant formation
NJ,s_o2,3.6033594529894333,0.012392967686875539,0.01277426499534042,52.10382912005135,0.002626547308312805,0.18993440982383478
NM,s_c1,4.780077013725513,0.016883483629091995,0.02636281261253025,96.82468111435634,0.008296084582585257,0.26988890795163056
NM,s_c2,4.951337260527943,0.014539978525777297,0.020452225552360166,73.23078046923355,0.006510092769297248,0.2677190623986576
NM,s_o1,6.298057522032513,0.019790946719360596,0.028096969861670065,97.06513788910077,0.007927714704481713,0.3619118828053514
NM,s_o2,3.4067388331315525,0.010865924564032235,0.01548145912334545,53.75762938180106,0.004358946724327779,0.19674554540292624
NV,s_c1,4.744657946293003,0.016743869755900545,0.026353980630640993,96.89425635646997,0.008294393049515033,0.2646518034805646
NV,s_c2,4.81473656979906,0.014037867690457704,0.020420302448707264,73.47864933812873,0.00650456223836873,0.24856685488930635
NV,s_o1,6.132799031325751,0.019178308633174792,0.028058044105546364,97.36792925009159,0.00792088210440198,0.33859238117369633
NV,s_o2,3.321165513752028,0.010548124697801111,0.015461269423112432,53.91473838778535,0.004355393212525334,0.18465405011566635
NY,s_c1,3.8245113895547664,0.013978565251097513,0.01261940918925591,84.20611557870355,0.0028851948237449683,0.22676959079147124
NY,s_c2,4.0406846103235265,0.011848782273793013,0.009433805678775295,63.4336311587641,0.0021721750654751975,0.21859083535085105
NY,s_o1,5.267439886633368,0.016748561552619258,0.015835921653823137,86.20544929657638,0.0031006515124349303,0.30530692590437186
NY,s_o2,2.8488500530632477,0.009216040594280665,0.008765748859884572,47.79492268007731,0.0017150276328163397,0.16640489821443352
OH,s_c1,5.362729472525285,0.02047018612075455,0.020826822492619496,93.03185203445136,0.004750952584786436,0.2746611966926152
OH,s_c2,5.273635366571857,0.01705115124900781,0.016010140980574086,70.50519840282648,0.0036671833607590672,0.2569831371250442
OH,s_o1,6.6358435934891435,0.02253015977233802,0.023153036836672684,94.0752745831003,0.004763765949432062,0.34787654821350283
OH,s_o2,3.5983359672210193,0.012382797961982574,0.01277369885023242,52.10564790084278,0.002625993652539812,0.18971995161038088
OK,s_c1,5.44135965522986,0.022157831965388116,0.04059270569545536,112.558700131736,0.014407595866648486,0.29004451107508045
OK,s_c2,5.386556528157863,0.018613428614076766,0.03184365210991281,86.79210948363409,0.011413768468303354,0.2755081359503887
OK,s_o1,6.768198231949158,0.024296730507349866,0.0407704817897007,112.28387101325308,0.013384637791525848,0.3693222566033559
OK,s_o2,3.6685578044543448,0.013340864284892435,0.0224238590344937,62.050212284842324,0.007347669936239498,0.20118427524527194
OR,s_c1,4.744657946293003,0.016743869755900545,0.026353980630640993,96.89425635646997,0.008294393049515033,0.2646518034805646
OR,s_c2,4.81473656979906,0.014037867690457704,0.020420302448707264,73.47864933812873,0.00650456223836873,0.24856685488930635
OR,s_o1,6.132799031325751,0.019178308633174792,0.028058044105546364,97.36792925009159,0.00792088210440198,0.33859238117369633
OR,s_o2,3.321165513752028,0.010548124697801111,0.015461269423112432,53.91473838778535,0.004355393212525334,0.18465405011566635
PA,s_c1,5.369508775445955,0.020483910384910476,0.020827586517713048,93.02939755035409,0.004751699755251711,0.27495061269971754
PA,s_c2,5.278631896617897,0.017061266403768902,0.016010704087781498,70.50338938150333,0.003667734045648494,0.2571964445686286
PA,s_o1,6.644907949154076,0.022548509979284745,0.023154058386419898,94.07199278302559,0.004764764963478025,0.3482635156722811
PA,s_o2,3.6033594529894333,0.012392967686875539,0.01277426499534042,52.10382912005135,0.002626547308312805,0.18993440982383478
RI,s_c1,3.8245113895547664,0.013978565251097513,0.01261940918925591,84.20611557870355,0.0028851948237449683,0.22676959079147124
